Hour,min,max,mean
0,0.03170000000000073,368.4834,30.80933043763676
1,0.007999999999995566,296.03200000000004,27.47910783369803
2,0.007999999999995566,274.60859999999997,26.12776875273523
3,0.00039999999999906777,269.1831,26.21752612691466
4,0.015200000000000102,271.6744,26.475893763676147
5,0.008200000000002206,251.7347,25.64855991247265
6,0.01269999999999527,219.5539,25.346022516411377
7,0.01829999999999643,213.4889,26.045336126914663
8,0.0031000000000034333,208.5582,24.983129321663018
9,0.00190000000000623,229.3074,25.514430284463895
10,0.008299999999991314,264.0237,28.041764288840263
11,0.0014000000000038426,270.9139,28.97528319474836
12,0.001300000000000523,617.9515,35.22116365426696
13,0.0037000000000091404,787.5339,53.424442866520785
14,0.013899999999992474,907.6561,65.89283905908096
15,0.017899999999997362,925.2148,63.22142658643327
16,0.0030000000000001137,1337.5888,78.29281150984683
17,0.0012000000000043087,1589.4906999999998,90.93238185995624
18,0.011400000000000077,2597.5939,109.2444002844639
19,0.009000000000000341,2305.4213,104.72604374179431
20,0.003999999999997783,1431.6867000000002,81.43362371991248
21,0.00750000000000739,993.8122000000001,68.43632439824945
22,0.04230000000001155,660.7127,45.604165601750545
23,0.007699999999999818,418.2319,30.779269890590808
