Month,min,max,mean
1,0.0030000000000001137,173.47390000000001,16.220726357526882
2,0.003999999999997783,262.36440000000005,19.16493949404762
3,0.00190000000000623,176.6438,14.498071384408602
4,0.0012000000000043087,605.5223000000001,30.24993861111111
5,0.015200000000000102,617.9515,35.438512674731186
6,0.007699999999999818,577.3782,42.181899611111106
7,0.001300000000000523,696.6577000000001,71.36295117383513
8,0.003700000000002035,2597.5939,140.6965474641577
9,0.007900000000006457,886.9877,95.35763916666667
10,0.008200000000002206,397.615,25.384609991039426
11,0.00039999999999906777,292.97470000000004,21.818537537037038
12,0.0014000000000038426,171.3497,17.245774211469534
